,criterion,nEstimators,maxDepth,accuracy
349,gini,100.0,18.0,0.8033707865168539
350,gini,100.0,19.0,0.8168539325842696
351,gini,100.0,20.0,0.79438202247191
352,gini,110.0,5.0,0.8112359550561796
353,gini,110.0,6.0,0.8337078651685392
354,gini,110.0,7.0,0.8157303370786517
355,gini,110.0,8.0,0.8078651685393258
356,gini,110.0,9.0,0.8033707865168539
357,gini,110.0,10.0,0.798876404494382
358,gini,110.0,11.0,0.8146067415730338
359,gini,110.0,12.0,0.8325842696629213
360,gini,110.0,13.0,0.7966292134831461
361,gini,110.0,14.0,0.7752808988764045
362,gini,110.0,15.0,0.8213483146067416
363,gini,110.0,16.0,0.797752808988764
364,gini,110.0,17.0,0.80561797752809
365,gini,110.0,18.0,0.801123595505618
366,gini,110.0,19.0,0.8112359550561796
367,gini,110.0,20.0,0.7685393258426967
368,gini,120.0,5.0,0.8157303370786517
369,gini,120.0,6.0,0.7932584269662921
370,gini,120.0,7.0,0.797752808988764
371,gini,120.0,8.0,0.8101123595505617
372,gini,120.0,9.0,0.8101123595505617
373,gini,120.0,10.0,0.8146067415730338
374,gini,120.0,11.0,0.7842696629213484
375,gini,120.0,12.0,0.8067415730337079
376,gini,120.0,13.0,0.8
377,gini,120.0,14.0,0.7831460674157305
378,gini,120.0,15.0,0.8146067415730336
379,gini,120.0,16.0,0.8247191011235955
380,gini,120.0,17.0,0.7966292134831461
381,gini,120.0,18.0,0.8011235955056181
382,gini,120.0,19.0,0.8134831460674157
383,gini,120.0,20.0,0.8157303370786517
384,gini,130.0,5.0,0.802247191011236
385,gini,130.0,6.0,0.801123595505618
386,gini,130.0,7.0,0.8258426966292136
387,gini,130.0,8.0,0.8101123595505617
388,gini,130.0,9.0,0.8067415730337079
389,gini,130.0,10.0,0.796629213483146
390,gini,130.0,11.0,0.8213483146067416
391,gini,130.0,12.0,0.8123595505617978
392,gini,130.0,13.0,0.7853932584269664
393,gini,130.0,14.0,0.802247191011236
394,gini,130.0,15.0,0.7876404494382022
395,gini,130.0,16.0,0.804494382022472
396,gini,130.0,17.0,0.8168539325842697
397,gini,130.0,18.0,0.8
398,gini,130.0,19.0,0.7932584269662921
